match_no,Bowler,team,over,run,wicket,No_ball,ECO
66,Trent Boult,Rajasthan Royals,4.0,35,1,0,8.8
66,Sandeep Sharma,Rajasthan Royals,4.0,46,0,1,11.5
66,Navdeep Saini,Rajasthan Royals,4.0,40,3,0,10.0
66,Adam Zampa,Rajasthan Royals,4.0,26,1,0,6.5
66,Yuzvendra Chahal,Rajasthan Royals,4.0,40,0,0,10.0
66,Sam Curran,Chennai Super Kings,4.0,46,1,0,11.5
66,Kagiso Rabada,Chennai Super Kings,4.0,40,2,1,10.0
66,Arshdeep Singh,Chennai Super Kings,4.0,40,1,0,10.0
66,Nathan Ellis,Chennai Super Kings,4.0,34,1,0,8.5
66,Rahul Chahar,Chennai Super Kings,3.4,28,1,0,8.2
67,Khaleel Ahmed,Delhi Capitals,4.0,45,1,0,11.3
67,Lalit Yadav,Delhi Capitals,2.0,32,0,0,16.0
67,Axar Patel,Delhi Capitals,3.0,32,0,0,10.7
67,Anrich Nortje,Delhi Capitals,4.0,43,1,0,10.8
67,Chetan Sakariya,Delhi Capitals,4.0,36,1,0,9.0
67,Kuldeep Yadav,Delhi Capitals,3.0,34,0,0,11.3
67,Deepak Chahar,Chennai Super Kings,4.0,22,3,0,5.5
67,Tushar Deshpande,Chennai Super Kings,4.0,26,1,0,6.5
67,Maheesh Theekshana,Chennai Super Kings,4.0,23,2,0,5.8
67,Ravindra Jadeja,Chennai Super Kings,4.0,50,1,0,12.5
67,Matheesha Pathirana,Chennai Super Kings,4.0,22,2,0,5.5
68,Harshit Rana,Kolkata Knight Riders,3.0,21,1,0,7.0
68,Vaibhav Arora,Kolkata Knight Riders,4.0,30,2,1,7.5
68,Varun Chakaravarthy,Kolkata Knight Riders,4.0,38,1,0,9.5
68,Nitish Rana,Kolkata Knight Riders,1.0,3,0,0,3.0
68,Shardul Thakur,Kolkata Knight Riders,2.0,27,2,1,13.5
68,Sunil Narine,Kolkata Knight Riders,4.0,28,2,0,7.0
